Time,Scan,Tvent [K],Tl8 [C],T6 [C],T4 [C],T2 [C],Pbypass [PSI],dPbypass [PA],dPtest [PSI],Pvent [PSI],Tbypass [K],Treturn [K],Tout [C],Tin [C],Preturn [PSI],dPreturn [PA],dPvent [PA],Ptest [PSI],PdPvent,DivTvent,mdotvent,dT,CVHeatFlux,PdPbypass,DivTbypass,mdotbypass,PdPreturn,DivTreturn,mdotreturn,PdivRvent,rhoVent,rhodPvent,MFRventcheck,PdivRbypass,rhoBypass,rhodPbypass,MFRbypass,PdivRreturn,rhoReturn,rhodPreturn,MFRreturn
6/27/2017 12:20:49:008,21,305.811,381.787,382.422,384.49,369.529,1313.4162,3263.4461,13.39943,1466.5636,410.251,303.358,346.591,339.754,1276.9042,5073.9742,3074.673,1415.8247,550415.925679482,1799.85653125454,7.34206378296538,6.83699999999999,1.14847295143491,523202.690112564,1275.32337547639,6.18029732498962,790856.567566774,2607.0074551084,8.83629782906628,4917.20796829698,16.0792383802315,49438.4001082616,7.37891950566199,4408.82370821869,10.7466495102235,35071.1114322057,6.76054902574967,4287.61939065288,14.133859633347,71714.8391260242,9.66744513806135
6/27/2017 12:20:49:877,22,305.805,381.861,382.415,384.484,369.544,1328.0359,4252.9565,12.978791,1466.2111,410.377,303.47,346.632,339.784,1280.1038,5017.9407,3012.1088,1415.7019,539086.32272826,1762.84338950723,7.26617870250114,6.84800000000001,1.13843139655642,689432.752532233,1679.99851973242,7.09338706099587,784082.691428135,2583.72389833636,8.79675020925022,4916.03781815615,16.0757274019593,48421.8399738426,7.30266221607427,4457.35489691055,10.8616099267516,46193.9545384428,7.75889318743621,4298.24070239926,14.1636428721101,71072.3200282263,9.62404063707052
6/27/2017 12:20:50:745,23,305.805,381.861,382.509,384.552,369.622,1317.9783,4001.7062,13.790599,1465.6344,410.5,303.744,346.654,339.817,1283.5052,4879.9045,2971.0513,1416.3159,531528.98958657,1738.13047395095,7.21506745666627,6.83699999999999,1.12860771326788,643790.576543954,1568.30834724471,6.85353974792145,764539.821634996,2517.05324758677,8.68251236329803,4914.12341933001,16.0694672073053,47743.2114365719,7.25130851381124,4423.96794072217,10.7770229981052,43126.47974906,7.49685665287609,4309.53190435391,14.1880396134703,69236.2783559518,9.49891627062056
6/27/2017 12:20:51:620,24,305.779,381.967,382.593,384.62,369.666,1289.9658,4212.8422,14.838184,1466.948,410.717,304.265,346.695,339.847,1291.8132,4696.3901,2928.038,1418.8941,524303.29070565,1714.64780349746,7.16616283987606,6.84800000000001,1.12276137207342,663352.765226527,1615.10910243921,6.95504815435812,740551.110087606,2433.90173068742,8.53789341021659,4918.48401287609,16.0850941787241,47097.766988883,7.20212620167991,4330.97834974353,10.5449210764189,44424.0885064068,7.60880518757278,4337.11093235393,14.2543865786533,66944.16000956,9.34035859943604
6/27/2017 12:20:52:485,25,305.747,382.02,382.608,384.667,369.715,1293.7513,3831.113,14.569113,1467.749,410.406,303.586,346.721,339.873,1300.9423,4778.3988,2926.5711,1415.8247,524326.76593273,1714.90404135684,7.16669827742341,6.84800000000001,1.12284526196104,605016.078734595,1474.18916569103,6.64470671000278,758807.444646225,2499.48101903983,8.65215179974321,4921.14299234503,16.0954743377532,47104.5500376602,7.20264481028535,4343.54460040483,10.5835309435165,40546.7029836083,7.26917249728386,4367.41566327774,14.3860904761015,68742.4774676947,9.46498198945325
6/27/2017 12:20:53:352,26,305.769,382.032,382.658,384.704,369.737,1295.5527,3875.206,14.354388,1467.4927,410.318,303.405,346.758,339.91,1326.2574,4692.3256,2981.8047,1416.6844,534129.174350189,1746.83886970291,7.23311936943597,6.84799999999996,1.13325181258917,612831.43343922,1493.55239945413,6.68820291541113,759638.759176315,2503.71206531308,8.65947175443851,4920.29218530647,16.0915337568768,47981.8109864639,7.26940535561372,4349.52448257132,10.600374545039,41078.6350391825,7.31669925372179,4451.45103300852,14.6716469175146,68844.1444252149,9.47197853969192
6/27/2017 12:20:54:216,27,305.814,382.048,382.646,384.692,369.756,1301.2048,3820.2673,13.971639,1467.1402,410.312,303.373,346.788,339.947,1273.1639,5348.433,3125.5059,1415.7019,559735.813947546,1830.31455050307,7.40392609441165,6.84100000000001,1.15882726220518,606779.029820874,1478.82350460351,6.65514284000492,831193.294762697,2739.83938835261,9.05861414892357,4919.12203516564,16.0853395696915,50274.8237285743,7.44107783034656,4368.28705168048,10.6462571206313,40671.54794534,7.28035493625459,4275.2031847756,14.0922336027781,75371.3672448073,9.91083848658151
6/27/2017 12:20:55:083,28,305.814,382.004,382.646,384.686,369.772,1307.0853,3547.9906,13.599226,1466.884,410.396,303.379,346.817,339.991,1274.6887,5122.6917,3115.7305,1416.8062,557887.733678184,1824.27139921058,7.39169321382043,6.82600000000002,1.1543759117402,566079.654864635,1379.34983495121,6.42741619163034,797064.580695535,2627.28989381445,8.87060429669914,4918.27156008456,16.0825585489368,50108.9181889581,7.42879000820884,4387.80781168941,10.6916437092209,37933.8513788648,7.03105784753975,4280.26487253372,14.1086392681554,72274.2092772737,9.70507456294056
6/27/2017 12:20:55:949,29,305.821,382.048,382.655,384.723,369.778,1316.8101,3314.7862,13.118111,1466.2752,410.422,303.427,346.843,340.017,1278.7223,5110.5108,3053.6553,1415.3334,546545.919797427,1787.14319748293,7.31608740049984,6.82600000000002,1.14256839657958,532806.882951663,1298.19279412815,6.23546442722189,797685.513238885,2628.92067363447,8.87335689709129,4916.25060290516,16.0755821310674,49089.2865751193,7.35281990913027,4420.09001336184,10.7696225186804,35698.996104131,6.8207982460167,4293.65470971967,14.1505360752987,72316.4674386038,9.7079113886903
6/27/2017 12:20:56:815,30,305.811,382.107,382.702,384.779,369.834,1337.7151,4027.6128,13.21418,1465.8908,410.571,303.605,346.88,340.054,1280.7162,5008.1984,2999.8886,1416.8062,536781.9482628,1755.27351293054,7.25056096468643,6.82600000000002,1.13233499850731,657661.618960488,1601.82189916114,6.92638012481099,782934.775744218,2578.79407698891,8.78835397293957,4914.97455832606,16.071935144014,48214.0150184669,7.28697397077628,4489.48572596902,10.9347365643677,44040.8849512755,7.57591721690197,4300.27361004818,14.1640408097633,70936.3265209911,9.61482865606147
